4639;2931.55;98111.38
4664;2931.79;98101.32
4687;2931.34;98107.07
4712;2931.34;98104.60
4736;2931.79;98109.07
4760;2931.42;98097.36
4785;2931.39;98103.27
4808;2931.05;98113.52
4833;2931.13;98102.38
4856;2931.16;98104.91
4881;2931.05;98108.58
4905;2931.10;98116.78
4929;2931.24;98103.67
4954;2930.78;98109.05
4978;2930.65;98108.75
5002;2930.81;98107.36
5026;2930.73;98112.47
5050;2930.68;98109.53
5074;2930.84;98103.17
5099;2931.00;98110.21
5123;2930.89;98107.88
5147;2930.60;98103.02
5172;2930.33;98106.33
5195;2930.39;98108.92
5220;2930.18;98114.83
5243;2930.57;98107.55
5268;2930.04;98105.00
5293;2930.33;98106.71
5316;2930.39;98104.33
5341;2930.04;98113.82
5364;2930.10;98116.41
5389;2930.33;98116.21
5413;2930.28;98106.22
5437;2929.94;98112.89
5462;2929.70;98108.14
5486;2929.94;98113.27
5510;2930.18;98103.89
5534;2930.10;98111.47
5558;2930.25;98111.44
5582;2930.20;98112.77
5607;2930.07;98113.19
5630;2929.99;98107.02
5655;2929.91;98113.55
5679;2929.94;98115.74
5703;2930.10;98115.00
5728;2930.02;98108.47
5751;2930.33;98110.58
5776;2930.07;98112.13
5800;2929.94;98107.96
5824;2930.04;98109.25
5849;2929.86;98108.13
5872;2929.72;98114.21
5897;2929.70;98106.74
5921;2929.59;98109.32
5945;2930.28;98108.00
5969;2929.88;98109.25
5993;2929.67;98113.41
6018;2929.96;98113.64
6042;2929.88;98109.25
6066;2929.65;98108.41
6090;2929.75;98113.21
6115;2929.86;98113.07
6138;2929.91;98104.02
6163;2929.70;98113.08
6187;2929.91;98107.89
6211;2929.67;98109.53
6236;2929.72;98108.55
6259;2929.78;98103.39
6284;2929.75;98114.27
6307;2929.65;98105.22
6332;2929.78;98115.74
6356;2929.91;98112.83
6380;2929.88;98114.91
6405;2930.04;98111.00
6429;2930.20;98105.02
6453;2929.94;98110.08
6477;2929.86;98109.91
6501;2930.10;98116.07
6525;2929.83;98105.97
6550;2929.72;98105.74
6574;2929.94;98109.02
6598;2930.07;98113.19
6622;2930.04;98109.60
6646;2929.78;98116.08
6671;2930.04;98110.32
6694;2929.65;98109.10
6719;2929.67;98108.13
6744;2929.80;98108.38
6767;2929.78;98104.46
6792;2929.49;98106.66
6815;2929.83;98109.47
6840;2929.54;98110.99
6864;2929.72;98107.49
6888;2929.57;98103.64
6913;2929.57;98102.24
6937;2929.67;98115.88
6961;2929.83;98112.66
6985;2929.99;98117.58
7009;2929.80;98115.78
7033;2929.78;98114.33
7058;2929.54;98109.58
7081;2929.91;98113.55
7106;2929.51;98111.99
7130;2929.67;98110.94
7154;2929.67;98110.60
7179;2930.04;98112.78
7202;2929.94;98108.67
7227;2929.75;98113.21
7251;2929.86;98106.03
7275;2929.72;98113.86
7300;2929.75;98112.14
7323;2929.62;98112.91
7348;2929.33;98105.61
7372;2929.62;98111.50
7396;2929.46;98108.72
7420;2929.65;98113.69
7444;2929.49;98115.47
7469;2929.78;98110.46
7493;2929.43;98108.32
7517;2929.59;98112.50
7541;2929.38;98111.02
7566;2929.62;98100.94
7589;2929.25;98110.03
7614;2929.46;98114.69
7638;2929.75;98110.39
7662;2929.54;98110.64
7687;2929.75;98104.74
7710;2929.70;98107.80
7735;2929.62;98112.91
7758;2929.54;98106.42
7783;2929.88;98112.78
7808;2929.51;98109.17
7831;2929.62;98111.16
7856;2929.59;98107.57
7880;2929.65;98112.97
7904;2929.70;98117.67
7928;2929.35;98113.77
7952;2929.57;98119.86
7976;2929.33;98114.77
8001;2929.75;98113.55
8025;2929.51;98114.11
8049;2929.51;98107.05
8074;2929.78;98106.92
8097;2929.57;98117.05
8122;2929.80;98108.03
8145;2929.46;98112.22
8170;2929.70;98107.80
8195;2929.80;98110.85
8218;2929.51;98109.52
8243;2929.49;98111.25
8266;2929.83;98110.19
8291;2929.83;98116.53
8315;2929.70;98108.49
8339;2929.88;98111.72
8364;2929.70;98106.39
8388;2929.86;98110.60
8412;2929.70;98107.42
8436;2929.88;98109.63
8460;2929.51;98111.30
8484;2929.54;98102.89
8509;2929.59;98109.69
8532;2929.80;98109.10
8557;2929.62;98119.97
8581;2929.78;98109.74
8605;2929.46;98112.94
8630;2929.51;98112.36
8653;2929.41;98117.07
8678;2929.72;98108.92
8702;2929.46;98108.72
8726;2929.27;98107.97
8751;2929.46;98112.94
8774;2929.70;98111.67
8799;2929.75;98111.80
8823;2929.59;98102.97
8847;2929.67;98110.94
8871;2929.17;98112.33
8896;2929.35;98110.24
8920;2929.49;98115.82
